,,mean,std,min,max,median,q1,q3
Random (High) (GT),Statistical::Lowness,0.226,0.125,0.0,1.0,0.222,0.143,0.304
Random (High) (GT),Statistical::Midness,0.361,0.214,0.0,1.0,0.35,0.2,0.529
Random (High) (GT),Statistical::Hiness,0.39,0.24,0.0,1.0,0.375,0.208,0.533
Random (High) (GT),Statistical::Vel Similarity Score,0.795,0.299,0.0,1.0,0.913,0.822,0.957
Random (High) (GT),Statistical::Weak to Strong Ratio,1.834,2.176,0.0,91.4,1.422,0.675,2.363
Random (High) (GT),Statistical::Poly Velocity Mean,0.596,0.172,0.189,1.0,0.571,0.457,0.729
Random (High) (GT),Statistical::Poly Velocity std,0.233,0.071,0.0,0.413,0.237,0.185,0.286
Random (High) (GT),Statistical::Poly Offset Mean,-0.068,0.098,-0.427,0.33,-0.068,-0.138,-0.003
Random (High) (GT),Statistical::Poly Offset std,0.162,0.078,0.0,0.484,0.149,0.098,0.217
Random (High) (GT),Syncopation::Combined,0.586,0.33,0.0,1.767,0.567,0.333,0.833
Random (High) (GT),Syncopation::Polyphonic,0.481,0.314,0.0,1.767,0.467,0.233,0.7
Random (High) (GT),Syncopation::Lowsync,0.099,0.093,0.0,0.533,0.067,0.0,0.167
Random (High) (GT),Syncopation::Midsync,0.173,0.158,0.0,0.8,0.133,0.0,0.3
Random (High) (GT),Syncopation::Hisync,0.145,0.137,0.0,0.767,0.133,0.033,0.233
Random (High) (GT),Syncopation::Lowsyness,0.023,0.02,0.0,0.1,0.022,0.0,0.033
Random (High) (GT),Syncopation::Midsyness,0.023,0.02,0.0,0.1,0.021,0.0,0.033
Random (High) (GT),Syncopation::Hisyness,0.019,0.017,0.0,0.1,0.017,0.002,0.033
Random (High) (GT),Syncopation::Complexity,0.769,0.35,0.031,2.0,0.743,0.479,1.026
Random (High) (GT),Auto-Correlation::Skewness,3.772,0.785,0.634,5.388,3.882,3.33,4.354
Random (High) (GT),Auto-Correlation::Max,7.566,3.682,0.21,23.641,7.044,4.962,9.698
Random (High) (GT),Auto-Correlation::Centroid,7.034,1.871,0.0,10.936,7.315,5.998,8.375
Random (High) (GT),Auto-Correlation::Harmonicity,0.444,0.25,0.003,1.0,0.41,0.244,0.619
Random (High) (GT),Micro-Timing::Swingness,0.29,0.3,0.0,1.583,0.192,0.0,0.508
Random (High) (GT),Micro-Timing::Laidbackness,0.007,0.175,-0.625,0.875,0.0,-0.125,0.125
Random (High) (GT),Micro-Timing::Accuracy,0.157,0.079,0.011,0.5,0.143,0.097,0.203
Random (High),Statistical::NoI,3.017,0.831,0.0,6.0,3.0,3.0,4.0
Random (High),Statistical::Total Step Density,0.419,0.202,0.0,1.0,0.406,0.25,0.562
Random (High),Statistical::Avg Voice Density,0.056,0.028,0.0,0.16,0.056,0.035,0.076
Random (High),Statistical::Lowness,0.226,0.171,0.0,1.0,0.197,0.118,0.294
Random (High),Statistical::Midness,0.329,0.239,0.0,1.0,0.286,0.138,0.5
Random (High),Statistical::Hiness,0.42,0.264,0.0,1.0,0.429,0.2,0.615
Random (High),Statistical::Vel Similarity Score,0.828,0.299,0.0,1.0,0.94,0.889,0.967
Random (High),Statistical::Weak to Strong Ratio,1.427,1.975,0.0,44.325,0.91,0.372,1.815
Random (High),Statistical::Poly Velocity Mean,0.431,0.118,0.0,0.976,0.41,0.352,0.495
Random (High),Statistical::Poly Velocity std,0.164,0.063,0.0,0.407,0.165,0.122,0.208
Random (High),Statistical::Poly Offset Mean,-0.038,0.02,-0.115,0.054,-0.038,-0.052,-0.025
Random (High),Statistical::Poly Offset std,0.023,0.01,0.0,0.073,0.021,0.015,0.029
Random (High),Syncopation::Combined,0.434,0.326,0.0,1.8,0.4,0.167,0.667
Random (High),Syncopation::Polyphonic,0.351,0.308,0.0,1.733,0.3,0.1,0.533
Random (High),Syncopation::Lowsync,0.058,0.074,0.0,0.467,0.033,0.0,0.1
Random (High),Syncopation::Midsync,0.145,0.176,0.0,0.833,0.067,0.0,0.267
Random (High),Syncopation::Hisync,0.119,0.123,0.0,0.733,0.1,0.0,0.2
Random (High),Syncopation::Lowsyness,0.016,0.019,0.0,0.078,0.01,0.0,0.033
Random (High),Syncopation::Midsyness,0.019,0.022,0.0,0.1,0.013,0.0,0.037
Random (High),Syncopation::Hisyness,0.016,0.015,0.0,0.067,0.012,0.0,0.025
